id_region,region,id_sector,sector,id_energy_carrier,energy carrier,end use,year,unit,value,bilanz
911,Rheinland-Pfalz,3,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",3,Kohle,Total,2021,TJ,0.6,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,3,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",2,Kraftstoff,Total,2021,TJ,6721,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,3,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",2,Heizöl,Total,2021,TJ,3197,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,3,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",2,Flüssiggas,Total,2021,TJ,613,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,3,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",6,Erdgas,Total,2021,TJ,30938,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,3,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",24,Solarenergie,Total,2021,TJ,63,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,3,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",12,Biomasse,Total,2021,TJ,4398,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,3,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",24,Sonstige Erneuerbare,Total,2021,TJ,368,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,3,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",1,Strom,Total,2021,TJ,19674,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,3,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",13,Fernwärme,Total,2021,TJ,6134,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,3,Kohle,Total,2021,TJ,611,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,2,Kraftstoff,Total,2021,TJ,259,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,2,Heizöl,Total,2021,TJ,31318,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,2,Andere Mineralöl,Total,2021,TJ,85,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,2,Flüssiggas,Total,2021,TJ,2375,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,6,Erdgas,Total,2021,TJ,57151,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,24,Solarenergie,Total,2021,TJ,1449,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,12,Biomasse,Total,2021,TJ,17495,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,24,Sonstige Erneuerbare,Total,2021,TJ,3734,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,1,Strom,Total,2021,TJ,26505,Endenergieverbrauch (EEV)
911,Rheinland-Pfalz,6,Haushalte,13,Fernwärme,Total,2021,TJ,3106,Endenergieverbrauch (EEV)
