id_region,id_sector,id_building_type,id_building_construction_period,year,wall,wall_margin,window,window_margin,roof,roof_margin,basement,basement_margin,average
9,6,all,all,2010-2012,0.97,0.1,1.68,0.13,1.67,0.13,0.43,0.06,1.1057
9,6,all,all,2013-2015,0.77,0,2.09,0.15,1.53,0.14,0.36,0.05,1.0073
9,6,all,all,2010-2015,0.87,0.07,1.88,0.11,1.6,0.1,0.39,0.04,1.0549
9,6,all,"""1-9""",2010-2012,1.39,0.16,2.44,0.21,2.52,0.2,0.63,0.1,1.6261
9,6,all,"""1-9""",2013-2015,1.05,0.14,2.74,0.23,2.24,0.22,0.51,0.08,1.4111
9,6,all,"""1-9""",2010-2015,1.22,0.1,2.59,0.16,2.38,0.15,0.57,0.06,1.5186
9,6,"""1-2""","""1-9""",2010-2012,1.37,0.19,2.46,0.25,2.31,0.24,0.54,0.1,1.5404
9,6,"""1-2""","""1-9""",2013-2015,1.03,0.16,2.96,0.28,2.17,0.26,0.44,0.09,1.3872
9,6,"""1-2""","""1-9""",2010-2015,1.2,0.12,2.71,0.2,2.24,0.18,0.49,0.07,1.4638
9,6,"""3-5""","""1-9""",2010-2012,1.47,0.24,2.34,0.32,3.41,0.36,0.98,0.2,1.9788
9,6,"""3-5""","""1-9""",2013-2015,1.15,0.2,1.85,0.27,2.54,0.31,0.77,0.14,1.5148
9,6,"""3-5""","""1-9""",2010-2015,1.31,0.16,2.09,0.23,2.97,0.23,0.88,0.12,1.7461
